,id,ro_dealerid,ro_vin,avg_ro_labor_price,avg_ro_parts_price,avg_customerpay,avg_customerpay_value,avg_warrantypay,avg_warrantypay_value,avg_otherpay,avg_otherpay_value,vehicle_warranty_date,vehicle_warranty_mileage,max_ro_mileage,recency,frequency,vehicle_age,last_service_date,cust_postal_code,cust_city,cust_state_code,retained_flag,vehicle_warranty_service_status,market_value,body_class,reliability,luxury,ronum,dealer_postal_code,distance,dealer_location_population,nearby_same_dealer,nearby_third_party
182958,606833061NXBR32E73Z093861,4515,1NXBR32E73Z093861,50.07,77.66,0,0,0.11,40.8056,0.89,82.84773333,2006-06-01T00:00:00.0000000,36000,82948,11,3,15,2018-10-22T00:00:00.0000000,33403,LAKE PARK,FL,0,0,4349.18,8,73,0,110529,33403,79,110222,2,16
182959,75012820JTEBU5JR7C5108836,4515,JTEBU5JR7C5108836,376.32,231.92,0,0,0.5,304.12,0.5,304.12,2015-06-01T00:00:00.0000000,36000,87629,233,1,6,2018-03-14T00:00:00.0000000,33418,WEST PALM BEACH,FL,0,0,22634.62,11,73,0,110529,33403,100,110222,2,16
182960,509636574T1BK1EB7EU126774,4515,4T1BK1EB7EU126774,83.8,110.16,1,178.45,0,0,0,0,2017-01-01T00:00:00.0000000,36000,33056,198,1,4,2018-04-18T00:00:00.0000000,33478,JUPITER,fl,0,0,18713.09,8,73,0,110529,33403,65,110222,2,16
182961,58901038JTMZD33V686063214,4515,JTMZD33V686063214,67.39,116.64,0.785714286,190.2055857,0.047142857,3.736542857,0.167142857,13.50644286,2011-01-01T00:00:00.0000000,36000,124275,142,7,10,2018-06-13T00:00:00.0000000,33418,PALM BEACH GARDENS,FL,0,0,7645.99,11,73,0,110529,33403,53,110222,2,16
182962,237708395YFBU4EE6DP092722,4515,5YFBU4EE6DP092722,48.41,41.57,1,96.28,0,0,0,0,2016-01-01T00:00:00.0000000,36000,84192,342,2,5,2017-11-25T00:00:00.0000000,33404,RIVIERA BEACH,FL,0,0,9964.52,8,73,0,110529,33403,98,110222,2,16
182963,245985825TDZK3EHXBS042113,4515,5TDZK3EHXBS042113,111.05,249.69,0.86,307.8717667,0,0,0.14,77.66823333,2014-01-01T00:00:00.0000000,36000,65305,253,3,7,2018-02-22T00:00:00.0000000,33458,JUPITER,FL,0,0,15104.01,11,73,0,110529,33403,39,110222,2,16
182964,536389854T1FA38P48U148792,4515,4T1FA38P48U148792,149.74,480.66,0.556666667,434.2053667,0.056666667,104.2003667,0.39,104.2003667,2011-01-01T00:00:00.0000000,36000,72768,304,3,10,2018-01-02T00:00:00.0000000,33477,JUPITER,FL,0,0,9864.21,2,73,0,110529,33403,55,110222,2,16
182965,61597384JTEBU17R460087333,4515,JTEBU17R460087333,45.56,213.46,0.6875,242.32125,0.0625,19.32375,0.25,8.025,2009-01-01T00:00:00.0000000,36000,146679,146,4,12,2018-06-09T00:00:00.0000000,33407,WEST PALM BEACH,FL,0,0,14200.6,11,73,0,110529,33403,33,110222,2,16
182966,722566184T1FA38P58U144301,4515,4T1FA38P58U144301,131.88,121.32,0.11,83.1842,0.223333333,168.8891333,0.666666667,0,2011-01-01T00:00:00.0000000,36000,42837,303,3,10,2018-01-03T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,0,11065.04,2,73,0,110529,33403,85,110222,2,16
182967,11362065TFUW5F1XDX289415,4515,5TFUW5F1XDX289415,335.57,783.15,0.75,852.1875,0.25,284.0625,0,0,2016-01-01T00:00:00.0000000,36000,67465,309,1,5,2017-12-28T00:00:00.0000000,33418,PBG,FL,0,0,23614.43,7,73,0,110529,33403,70,110222,2,16
182968,727949342T1BURHEXFC376124,4515,2T1BURHEXFC376124,105,0,0,0,0,0,1,105,2018-03-30T00:00:00.0000000,36000,39838,287,1,3,2018-01-19T00:00:00.0000000,33467,LAKE WORTH,FL,0,1,13029.52,8,73,0,110529,33403,77,110222,2,16
182969,738941183VWRX7AJ4AM097914,4515,3VWRX7AJ4AM097914,21.49,140.6,0.29,47.0061,0,0,0.71,115.0839,2013-01-01T00:00:00.0000000,36000,75903,276,1,8,2018-01-30T00:00:00.0000000,33409,WEST PALM BEACH,FL,0,0,7640.31,8,71,0,110529,33403,40,110222,2,16
182970,320674564T1BK36B98U293264,4515,4T1BK36B98U293264,27.98,28.57,0.835,41.69535,0,0,0.165,8.11965,2011-01-01T00:00:00.0000000,36000,89398,256,2,10,2018-02-19T00:00:00.0000000,10954,NANUET,NY,0,0,9373.95,8,73,0,110529,33403,999,110222,2,16
182971,730989721HGCR2F50EA273573,4515,1HGCR2F50EA273573,0,3.17,0.333636364,2.520363636,0,0,0.666363636,0.876,2017-01-01T00:00:00.0000000,36000,75000,4,11,4,2018-10-29T00:00:00.0000000,33417,HAVERHILL,FL,0,0,13504.51,8,70,0,110529,33403,59,110222,2,16
182972,7309897219XFA1F51BE014287,4515,19XFA1F51BE014287,0,0,0.25,0,0,0,0.75,0,2014-01-01T00:00:00.0000000,36000,73001,120,2,7,2018-07-05T00:00:00.0000000,33417,HAVERHILL,FL,0,0,9165.22,8,70,0,110529,33403,35,110222,2,16
